,School Type,Year Founded,Religious Affiliation,Academic Calendar,Setting,Phone,School Website,Median starting salary of alumni ,Selectivity,Fall 2020 acceptance rate,Application deadline,SAT/ACT scores must be received by,Student-faculty ratio,4-year graduation rate,Total enrollment,Collegiate athletic association,Tuition and fees,Room and board,Students who have cars on campus,Health insurance offered,Score (out of 100),Average 6-year graduation rate (17.6%),6-year graduation rate of students who received a Pell Grant (2.5%),6-year graduation rate of students who did not receive a Pell Grant (2.5%),Classes with fewer than 20 students,Classes with 50 or more students,Student-faculty ratio (1%),Admission interview,Required standardized tests,Early decision deadline,Application fee,Common Application accepted,Deadline for housing deposit,Acceptance rate,Early decision acceptance rate,Accepting applications,Minimum credits to apply,Minimum required college GPA,Has guaranteed admission agreement with at least one other institution,Guaranteed admission agreement URL,Separate application form required,Conditional admission offered,Early decision or early action options available,TOEFL (paper),TOEFL (internet-based),Michigan Test,IELTS,SAT,ACT,Advance deposit required,TOEFL accepted instead of SAT or ACT,International student contact,Degrees offered,Combined-degree programs,Online bachelor's degree program offered,General education/core curriculum required,Awarded Pell Grants (2019-2020),Enrolled students who are veterans or active service members,Students living on- and off-campus,Air Force ROTC,Army ROTC,Navy ROTC,Net price for federal loan recipients (2018-2019) ,Go to this school's net price calculator,Institution is G.I. Bill certified,Institution participates in Yellow Ribbon Program,Typical total federal loan debt after graduation ,Typical total federal loan debt among those who did not graduate ,Typical monthly loan payment ,Undergraduates paying down their federal loan debt ,Average total indebtedness of 2020 graduating class,"Graduating students who have borrowed (any loan type, 2020)",Campus size (acres),Alcohol permitted on campus for students of legal age,Career services offered,Basic student services offered,Campus safety and security services offered,Computers available for student use in,On-campus library,Museums or special academic buildings on campus,Services for LD students,Services for physically disabled students,Accessibility of campus to physically disabled students,SATs on 1600 scale,Undergraduate men who are members of a fraternity,Undergraduate women who are members of a sorority,By major,Ten most popular majors for 2020 graduates,In-state tuition and fees,Out-of-state tuition and fees,Class Sizes,Classes with fewer than 20 students ,Classes with 50 or more students ,Class sizes,,Student participation in special academic programs,Fall 2020 acceptance rate ,Student-faculty ratio ,Student Gender Distribution,Average 6-year graduation rate (17.6%) ,Student-faculty ratio (1%) ,Acceptance rate ,Full-time faculty gender distribution,Part-time faculty gender distribution,Degree-seeking student gender distribution,Types of campus housing available,Total graduate enrollment,Median starting salary of alumni
72,"Public, Coed",1851,None,Semester,Urban,(612) 625-5000,Website,"$56,500",More selective,70%,rolling,Nov. 30,17:1,71%,"52,017(fall 2020)",NCAA I,,"$11,354(2021-22)",N/A,Yes,66,82%,78%,86%,36%,20%,17:1,Neither required/recommended,Neither SAT nor ACT,N/A,$55,Yes,May 15,70%,N/A,"Fall, Spring",No,2,Yes,Website,Yes,Yes,Early action only,Required of some,Required of some,N/A,Required of some,N/A,N/A,No,Yes,Dr. Barbara Kappler Director (612) 626-7100 isss@umn.edu,"Certificate, Diploma, Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship",MD/MPHMD/MBAJD/MHADPT/PhDMD/JDMHR/MPHPharmD/MBAJD/MPPMD/MHIMSF/MSBA(Dual degrees in IT) - BA plus BS or MSMSW/MPHPharmD/MPHMPP/MBAAPEC/MBAMD/PhDDVM/PhDMA/PhD in Speech-Language-Hearing SciencesDVM/MSMD/MS in Biomedical EngineeringBCompE/MSEEMHA/MBAJD/MBADVM/MPHMPP/MPHBEE/MSEEDDS/MPHMURP/MPHBME/MSMEPhD/JD in Mass Communication and LawJD/MPHJD/MSAuD/PhDMBA/MSBABBmE/MSHRIR/MBADNP/MPHMA/JD in Mass Communication and LawJD/PhDAND 34 MORE ,Yes,Yes,20%,2.1%,,Offered on campus,Offered on campus,Offered on campus,"$17,740",Website,Yes,No,"$19,500","$9,408",$186,N/A,"$26,644",54%,"1,204",Yes,co-op educationon-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement serviceday carehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksStudent patrolsControlled dormitory access (key, security card, etc.)",N/A,Yes,"Frederick R Weisman Art Museum, Bell Museum of Natural History, Goldstein Gallery (costume clothing), Humphrey Forum (political memorabilia), Katherine E. Nash Art Gallery, Kerlan Collection of Childrens Literature",Reading machinesNote-taking servicesOral testsReadersExtended time for testsEarly syllabusPriority registrationPriority seatingTypist/scribeExams on tape or computerAND 5 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Mostly,,N/A,N/A,,,"$15,253(2021-22)","$33,843(2021-22)",,,,,,,,,,,,,,,,,,
73,"Private, Coed",1886,None,Semester,Urban,(212) 960-5400,Website,"$53,600",More selective,67%,Feb. 1,N/A,7:1,69%,"4,659(fall 2020)",NCAA III,"$47,500(2021-22)","$13,000(2021-22)",N/A,Yes,66,81%,69%,80%,63.7%,1%,7:1,Required,N/A,Nov. 1,$65,No,May 1,67%,66%,"Fall, Spring, Summer",No,3,No,N/A,No,Yes,Early decision only,Considered,Required,N/A,N/A,Recommended,Recommended,No,Yes,Jennifer Golden International Student Advisor (646) 592-4203 jgolden1@yu.edu,"Associate, Bachelor's, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship",BA/MSW with Wurzweiler school of Yeshiva UniversityProgram in Nursing with Johns Hopkins UniversityProgram in Physical Therapy with New York Medical CollegeBusiness Administration Program with Bar Ilan UniversityEngineering Program with SUNY Stony BrookEngineering Program with Columbia UniversityPhysicians Assistant Program with Mercy CollegeBA/MA w/ MS in Accounting with Yeshiva UniversityMath and Science Education Program with NYUPodiatry Program with New York College of Podiatric MedicineJewish Education Program with Azrieli Graduate School of Yeshiva UniversityBA/MA w/ MS in Economics with Yeshiva UniversityBA/MA w/ MS in Math with Yeshiva UniversityMathematics and Science Education with New York University SteinhardtProgram in Jewish Studies with Bernard Revel Graduate School of Yeshiva UniversityProgram in Optometry with the SUNY College of OptometryNursing Program with New York UniversityProgram in Occupational Therapy with Columbia UniversityAND 13 MORE ,No,Yes,15%,N/A,,Not offered,Not offered,Not offered,"$38,930",Website,Yes,Yes,"$19,500","$8,125",$186,N/A,"$23,666",42%,300,No,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringplacement servicehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,Yeshiva University Museum at the Center for Jewish History,Note-taking servicesLearning centerReadersExtended time for testsEarly syllabusTypist/scribeExams on tape or computerOther testing accommodations,Note-taking servicesTape recordersSpecial housingAdaptive equipmentReader servicesInterpreters for hearing-impairedTalking books,Mostly,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
74,"Private, Coed",1845,Baptist,Semester,City,(254) 710-1011,Website,"$53,400",More selective,68%,Feb. 1,Feb. 1,15:1,64%,"19,297(fall 2020)",NCAA I,"$50,232(2021-22)","$14,324(2021-22)",N/A,Yes,65,78%,71%,81%,51.9%,9%,15:1,N/A,Neither SAT nor ACT,Nov. 1,N/A,Yes,N/A,68%,N/A,"Fall, Spring, Summer",No,N/A,Yes,Website,No,Yes,Both early decision and early action,N/A,Required of some,N/A,Required of some,Required of some,Required of some,No,No,Leslie Hicks International Student Advisor (254) 710-1461 leslie_hicks@baylor.edu,"Bachelor's, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship",N/A,No,No,17%,0.6%,,Offered on campus,Offered on campus,Not offered,"$36,039",Website,Yes,Yes,"$24,225","$6,500",$231,N/A,"$46,475",50%,"1,000",No,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringhealth servicehealth insurance,"24-hour foot and vehicle patrols24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"Museums:
1. The Sue and Frank Mayborn Natural Science and Cultural History Museum Complex
	-Ollie Mae Moen Discovery Center and Childrens Museum
	-Bill and Vara Daniel Historic Village
	-the Strecker Museum
	-the Jeanes Discovery Center
        -the Thomas E. and Emilyne Anding Exhibitions Gallery 
2. Albritton Art Museum
3. Martin Museum of Art
4. The University Gallery
5. Armstrong Browning Library and the Browning Collection
6. Waco Mammoth National Monument -- archaeological dig site",Reading machinesNote-taking servicesOral testsReadersExtended time for testsTutorsPriority registrationPriority seatingSubstitution of coursesTypist/scribeExams on tape or computerOther testing accommodationsAND 7 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesInterpreters for hearing-impairedTalking books,Mostly,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
75,"Public, Coed",1889,None,Semester,Suburban,(864) 656-3311,Website,"$57,400",More selective,62%,May 1,May 1,16:1,63%,"26,406(fall 2020)",NCAA I,,"$11,414(2020-21)",63%,Yes,65,84%,74%,87%,37.7%,17%,16:1,Neither required/recommended,Either SAT or ACT,N/A,$70,Yes,May 1,62%,N/A,"Fall, Spring, Summer",30,2.5,N/A,N/A,No,Yes,Neither early decision nor early action,Required,Required,N/A,Required,Required,Required,Yes,Yes,Lindsey W. Hill Director of International Services (864) 230-2177 lwhill@CLEMSON.EDU,"Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - research/scholarship",Mathematical ScienceFood ScienceBioengineeringComputer ScienceCivil EngineeringEconomics,Yes,Yes,16%,1.9%,,Offered on campus,Offered on campus,Not offered,"$20,008",Website,Yes,Yes,"$21,500","$8,750",$205,N/A,"$33,488",48%,"17,000",Yes,co-op educationon-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringplacement servicehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksStudent patrolsControlled dormitory access (key, security card, etc.)",N/A,Yes,"Fort Hill is a historic house museum on the Clemson campus and it has endured for 200 years. It is the residence of John C. Calhoun, US Statesman, and vice-president.  A full-length portrait of South Carolina statesman John C. Calhoun hangs in the lobby near the entrance to the R. M. Cooper Library. It was completed around 1900 by Tennessee artist Oliver Branson, having been commissioned by the Clemson University Board of Trustees as a copy of the G. P. A. Healy painting.",Videotaped classesDiagnostic testing serviceUntimed testsNote-taking servicesOral testsLearning centerReadersExtended time for testsTutorsPriority registrationSubstitution of coursesTypist/scribeExams on tape or computerOther testing accommodationsAND 9 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Partly,,,,,,"$15,120(2020-21)","$37,712(2020-21)",,,,,,,,,,,,,,,,,,
76,"Private, Coed",1911,Roman Catholic,Semester,Suburban,(800) 568-4636,Website,"$54,700",More selective,50%,Jan. 15,Feb. 1,10:1,75%,"9,686(fall 2020)",NCAA I,"$53,051(2021-22)","$17,154(2021-22)",N/A,Yes,65,82%,80%,83%,49.5%,1%,10:1,Neither required/recommended,Neither SAT nor ACT,Nov. 1,$60,Yes,N/A,50%,42%,"Fall, Spring",No,3,Yes,Website,No,Yes,Both early decision and early action,Considered,Required of some,N/A,Required of some,Considered,Considered,No,N/A,Dan Marschner Director of International Admissions (310) 338-2750 admission@lmu.edu,"Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship",N/A,No,Yes,15%,0.5%,,Offered on campus,Offered at cooperating institution,N/A,"$42,861",Website,Yes,Yes,"$20,500","$9,125",$196,N/A,"$31,377",44%,142,Yes,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringplacement serviceday carehealth servicehealth insurance,"24-hour foot and vehicle patrols24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"Fine arts complex with recital hall and recording arts facilities, marine station, new life sciences building with green roof that is a ""living laboratory"" for research. Laband Art Gallery, TV production labs, computer graphics labs, ROAR studios and KXLU radio station.",Reading machinesNote-taking servicesOral testsLearning centerReadersExtended time for testsTutorsPriority registrationPriority seatingTypist/scribeExams on tape or computerOther testing accommodationsAND 7 MORE ,Note-taking servicesTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Mostly,,,,,,,,,,,,,,,,,,,,,,,,,
77,"Public, Coed",1872,None,Semester,N/A,(540) 231-6000,Website,"$62,300",More selective,67%,Jan. 15,Jan. 29,14:1,65%,"37,024(fall 2020)",NCAA I,,"$10,110(2021-22)",N/A,Yes,65,85%,80%,87%,28.4%,24%,14:1,Neither required/recommended,Neither SAT nor ACT,Nov. 1,$60,Yes,N/A,67%,58%,"Fall, Spring, Summer",12,N/A,Yes,Website,No,Yes,Both early decision and early action,Required,Required,N/A,Required,Considered,Considered,No,Yes,Tyler Oxley Senior Assistant Director Undergraduate Admissions (540) 231-6267 admissions@vt.edu,"Associate, Bachelor's, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship","Materials Science and EngineeringAgriculture and Life SciencesBiological Systems EngineeringAerospace EngineeringBiomedical EngineeringForeign Languages and LiteraturePhysicsIndustrial and Systems EngineeringCurriculum and InstructionMathematicsPhilosophyLandscape ArchitectureElectrical and Computer EngineeringBusiness Administration, Hospitality and Tourism ManagementBiochemistryCareer and Technical EducationMaterial Culture and Public HumanitiesEconomicsComputer Science and ApplicationsForest ProductsEngineering Science and MechanicsCivil EngineeringBuilding ConsturctionMining EngineeringAgriculture and Applied EconomicsPublic and International AffairsUrban Affairs and PlanningHuman Nutrition, Foods and ExercisePlant Pathology, Phsiology and Weed ScienceMechanical and/or Nuclear EngineeringBusiness Administration, MarketingSociologyBiological SciencesGeographyPolitical ScienceBusiness Administration, Business AnalyticsHorticultureAND 32 MORE ",No,Yes,14%,1.3%,,Offered on campus,Offered on campus,Offered on campus,"$21,198",Website,Yes,Yes,"$22,500","$12,000",$215,N/A,"$31,762",47%,"2,600",Yes,co-op educationon-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement servicehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,N/A,Reading machinesVideotaped classesDiagnostic testing serviceNote-taking servicesOral testsLearning centerReadersExtended time for testsTutorsPriority registrationPriority seatingSubstitution of coursesExams on tape or computerOther testing accommodationsWaiver of foreign language degree requirementWaiver of math degree requirementAND 11 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Fully,,N/A,N/A,,,"$14,174(2021-22)","$33,253(2021-22)",,,,,,,,,,,,,,,,,,
78,"Private, Coed",1893,United Methodist,Semester,Suburban,(202) 885-1000,Website,"$50,500",More selective,39%,Jan. 15,Jan. 1,11:1,73%,"14,001(fall 2020)",NCAA I,"$51,334(2021-22)","$15,150(2021-22)",N/A,Yes,64,79%,75%,80%,58.9%,1%,11:1,Neither required/recommended,Neither SAT nor ACT,Nov. 15,$75,Yes,May 1,39%,83%,"Fall, Spring, Summer",No,2,No,N/A,No,No,Early decision only,Required,Required,N/A,Required of some,N/A,N/A,No,N/A,Evelyn Levinson International Admisions Director (202) 885-6043 levinson@american.edu,"Certificate, Bachelor's, Post-bachelor's certificate, Master's, Doctorate - professional practice, Doctorate - research/scholarship","B.S./M.S. EconomicsB.A./M.A. Political CommuciationB.A./M.A. PhilosophyB.A./M.A. PsychologyB.A./M.A. TESOLB.A./M.A. Justice, Law and CriminologyB.S./M.S. ChemistryB.A./M.A. MathematicsB.S./M.S. MathematicsB.S./M.S. Environmental ScienceB.A./M.A. AnthropologyB.A./M.A. HistoryBachelors/Master's Business programsB.A./M.A. LiteratureB.S./M.S. BiologyB.A./M.A. Strategic CommunicationB.A./M.A. International StudiesB.A./M.A. EconomicsB.S./M.A. StatisticsB.A./M.A. Political ScienceB.A./M.A. SociologyB.S./M.S. Computer ScienceB.A./M.A. Law and SocietyB.S./M.S. BiochemistryB.S./M.S. Health PromotionB.A./M.A. Global Environmental PolicyAND 21 MORE ",No,Yes,15%,0.5%,N/A,Offered at cooperating institution,Offered at cooperating institution,Not offered,"$43,451",Website,Yes,Yes,"$23,999","$8,750",$229,N/A,"$34,455",62%,84,Yes,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerday carehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"Katzen Arts Center (performance venue and AU Art Museum), Watkins Art Gallery, Harold and Sylvia Greenberg Theater, Experimental Theater, Kay Spiritual Life Center, WAMU (media/radio), National Arboretum, Game Lab",Reading machinesNote-taking servicesLearning centerReadersExtended time for testsTutorsPriority registrationExams on tape or computerOther testing accommodationsAND 4 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Fully,,,,,,,,,,,,,,,,,,,,,,,,,
79,"Private, Coed",1875,Latter-day Saints (Mormon Church),Semester,City,(801) 422-1211,Website,"$57,800",More selective,69%,Dec. 15,Dec. 15,21:1,21%,"36,450(fall 2020)",NCAA I,"$6,120(2021-22)","$8,048(2021-22)",N/A,Yes,64,81%,68%,77%,50.2%,13%,21:1,N/A,N/A,N/A,$35,No,N/A,69%,N/A,"Fall, Winter, Spring, Summer",No,N/A,No,N/A,No,No,Neither early decision nor early action,Required,Required,N/A,N/A,Required of some,Required of some,Yes,No,Lori Gardiner Director of International Admissions (801) 422-5000 admissions_services@byu.edu,"Bachelor's, Post-bachelor's certificate, Master's, Doctorate - professional practice, Doctorate - research/scholarship",N/A,Yes,Yes,33%,N/A,,Offered on campus,Offered on campus,Not offered,"$13,322",Website,Yes,No,"$12,000","$6,500",$114,N/A,"$16,000",22%,557,No,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement servicehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksStudent patrolsControlled dormitory access (key, security card, etc.)",N/A,Yes,"Monte L. Bean Life Science Museum, Earth Science Museum, Museum of Art, Museum of Peoples and Cultures, Eyring Science Center, Performing Arts stages, deJong Concert Hall, BYU Sarah B. Summerhayes Planetarium, Student Athlete Building and Indoor Practice Facility, Horticulture Greenhouses, film studio, language research center, and on-campus nursery school.",Reading machinesOther special classesDiagnostic testing serviceNote-taking servicesOral testsLearning centerReadersExtended time for testsTutorsPriority registrationPriority seatingProofreading servicesSubstitution of coursesTypist/scribeExams on tape or computerOther testing accommodationsAND 11 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Mostly,,,,,,,,,,,,,,,,,,,,,,,,,
80,"Private, Coed",1887,Roman Catholic,Semester,City,(800) 986-9585,Website,"$56,000",More selective,73%,Feb. 1,Feb. 15,11:1,77%,"7,295(fall 2020)",NCAA I,"$48,470(2021-22)","$13,192(2021-22)",N/A,Yes,64,87%,85%,88%,37%,2%,11:1,Recommended,Neither SAT nor ACT,N/A,$50,Yes,May 1,73%,N/A,"Fall, Spring",30,2.7,No,N/A,No,Yes,N/A,Required of some,Required of some,N/A,Required of some,Required of some,Required of some,No,Yes,Ashley Davis Director of International Student and Scholar Services (509) 313-3583 davisa3@gonzaga.edu,"Bachelor's, Post-bachelor's certificate, Master's, Doctorate - professional practice, Doctorate - research/scholarship",MACC/JDMBA/MAccMBA/JDMTax/JD,No,Yes,12%,0.6%,,Not offered,Offered on campus,Not offered,"$33,793",Website,Yes,Yes,"$25,000","$11,000",$239,N/A,"$28,426",54%,152,Yes,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringplacement servicehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"Jundt Art Museum, Chastek Law Library",Reading machinesNote-taking servicesOral testsLearning centerReadersExtended time for testsTutorsEarly syllabusPriority registrationPriority seatingProofreading servicesSubstitution of coursesTypist/scribeExams on tape or computerOther testing accommodationsWaiver of foreign language degree requirementAND 11 MORE ,Note-taking servicesTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Fully,,,,,,,,,,,,,,,,,,,,,,,,,
81,"Public, Coed",1887,None,Semester,City,(919) 515-2011,Website,"$57,600",More selective,46%,Jan. 15,Feb. 1,15:1,59%,"36,042(fall 2020)",NCAA I,,"$11,957(2021-22)",35%,Yes,64,82%,81%,86%,37.1%,18%,15:1,Neither required/recommended,Neither SAT nor ACT,N/A,$85,Yes,N/A,46%,N/A,"Fall, Spring",30,2,Yes,Website,No,Yes,Early action only,N/A,Required,N/A,Required,Considered,Considered,No,No,Ms. Jeong Powell Director of International Admissions and Recruitment (919) 515-2434 jeong_powell@ncsu.edu,"Certificate, terminal-associate, Bachelor's, Post-bachelor's certificate, Master's, Doctorate - professional practice, Doctorate - research/scholarship","BS  in Business Administration and Management (with China-Shanghai University – SILC Business School)BS  in Business Administration and Management (with Italy – Universita Cattolica del Sacro Cuore)PhD  in Industrial Engineering (with Taiwan - National Chiao Tung University – Industrial and Systems Engineering)BS  in Business Administration and Management (with Germany – Reutlingen University – ESB Business School)BS in Applied Physics or Geo-Environmental Studies (UNCP), Electrical, Mechanical, Civil, or Environmental Engineering (NC State)  (with UNC Pembroke)BS in Physics (NCCU), Mechanical Engineering (NC State)  (with NC Central University)BA/BS & BS in Mathematics, Chemistry, or Computer Science (Meredith), Engineering (NC State)  (with Meredith College)JD & MAC in Juris Doctor (Campbell), Master of Accounting (NC State)  (with Campbell University)BS  in Business Administration and Management (with France – SKEMA Business School)BS  in Business Administration and Management (with Spain – Universidad Pontifica Comillas – ICADE Business School)Master’s  in Management - Global Luxury (with France - SKEMA Business School)AND 6 MORE ",Yes,Yes,21%,1.2%,,Offered on campus,Offered on campus,Offered on campus,"$16,458",Website,Yes,Yes,"$20,500","$9,750",$196,N/A,"$25,317",48%,"2,137",Yes,co-op educationon-campus job interviewsinternshipsresume assistancecareer/job search classesinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement servicehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"Gregg Museum of Art & Design, Phytotron with controlled atmosphere growth chambers, stable isotope lab, nuclear reactor, Research farms and forest, University- Industry partnership buildings on Centennial Campus, Veterinary Medicine Hospital, Memorial Bell Tower, University Theatre",Reading machinesNote-taking servicesReadersExtended time for testsPriority registrationPriority seatingTypist/scribeExams on tape or computerOther testing accommodationsAND 4 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Mostly,,,,,,"$9,131(2021-22)","$29,916(2021-22)",,,,,,,,,,,,,,,,,,
